Name,Breite,L„nge,H”he
1,48.39908,13.45273,334.9
2,48.39908,13.45273,335.0
3,48.39908,13.45273,335.0
4,48.39908,13.45273,334.7
5,48.39908,13.45273,335.0
6,48.39908,13.45273,334.9
7,48.39908,13.45273,335.1
8,48.39908,13.45273,334.9
9,48.39908,13.45273,334.7
10,48.39908,13.45273,334.7
11,48.39908,13.45273,334.8
12,48.39908,13.45273,334.7
13,48.39908,13.45273,332.5
14,48.39908,13.45273,335.9
15,48.39908,13.45273,339.6
16,48.3991,13.45272,345.7
17,48.3991,13.45272,360.4
18,48.3991,13.45272,381.1
19,48.39912,13.4527,466.8
20,48.39912,13.4527,494.1
21,48.39912,13.4527,476.9
22,48.39908,13.45267,501.3
23,48.39908,13.45267,532.1
24,48.39908,13.45267,567.6
25,48.39903,13.45266,574.5
26,48.39903,13.45266,590.2
27,48.39903,13.45266,589.9
28,48.39897,13.45268,614.9
29,48.39897,13.45268,639.3
30,48.39897,13.45268,647.9
31,48.39891,13.45271,677.3
32,48.39891,13.45271,676.9
33,48.39891,13.45271,691.9
34,48.39879,13.45282,699.5
35,48.39879,13.45282,721.5
36,48.39879,13.45282,723.1
37,48.39864,13.45293,729.5
38,48.39864,13.45293,731.8
39,48.39864,13.45293,732.6
40,48.39849,13.45307,736.1
41,48.39849,13.45307,745.1
42,48.39849,13.45307,744.7
43,48.39835,13.45321,769.2
44,48.39835,13.45321,730.5
45,48.39835,13.45321,719.2
46,48.3982,13.4534,717.6
47,48.3982,13.4534,743.1
48,48.3982,13.4534,734.2
49,48.39807,13.4536,740.2
50,48.39807,13.4536,738.1
51,48.39807,13.4536,736.0
52,48.39816,13.45382,734.2
53,48.39816,13.45382,727.5
54,48.39816,13.45382,728.3
55,48.39816,13.45382,724.7
56,48.39816,13.45382,721.2
57,48.39816,13.45382,718.6
58,48.39816,13.45382,715.7
59,48.39816,13.45382,712.3
60,48.39816,13.45382,709.2
61,48.39816,13.45382,706.0
62,48.39816,13.45382,701.8
63,48.39816,13.45382,700.5
64,48.39816,13.45382,697.2
65,48.39816,13.45382,693.2
66,48.39816,13.45382,688.2
67,48.39816,13.45382,687.8
68,48.39816,13.45382,685.5
69,48.39816,13.45382,682.5
70,48.39801,13.4546,678.0
71,48.39801,13.4546,675.8
72,48.39801,13.4546,670.4
73,48.39803,13.45448,670.5
74,48.39803,13.45448,664.8
75,48.39803,13.45448,664.2
76,48.39805,13.45439,661.0
77,48.39805,13.45439,659.2
78,48.39805,13.45439,655.3
79,48.39806,13.4543,650.6
80,48.39806,13.4543,650.2
81,48.39806,13.4543,646.0
82,48.39808,13.45421,643.0
83,48.39808,13.45421,639.7
84,48.39808,13.45421,638.0
85,48.39809,13.45411,635.3
86,48.39809,13.45411,632.2
87,48.39809,13.45411,629.1
88,48.3981,13.454,625.5
89,48.3981,13.454,623.3
90,48.3981,13.454,620.1
91,48.39811,13.45391,615.8
92,48.39811,13.45391,613.9
93,48.39811,13.45391,610.5
94,48.39812,13.4538,608.3
95,48.39812,13.4538,605.9
96,48.39812,13.4538,602.0
97,48.39814,13.4537,599.7
98,48.39814,13.4537,596.0
99,48.39814,13.4537,593.3
100,48.39815,13.45361,589.5
101,48.39815,13.45361,586.6
102,48.39815,13.45361,584.3
103,48.39816,13.45351,580.3
104,48.39816,13.45351,578.2
105,48.39816,13.45351,574.2
106,48.39817,13.45341,572.0
107,48.39817,13.45341,567.9
108,48.39817,13.45341,564.6
109,48.39819,13.4533,562.2
110,48.39819,13.4533,558.2
111,48.39819,13.4533,555.3
112,48.39821,13.4532,551.8
113,48.39821,13.4532,549.8
114,48.39821,13.4532,546.7
115,48.39823,13.4531,543.0
116,48.39823,13.4531,540.2
117,48.39823,13.4531,536.6
118,48.39825,13.453,533.4
119,48.39825,13.453,529.6
120,48.39825,13.453,526.2
121,48.39827,13.45289,523.6
122,48.39827,13.45289,520.3
123,48.39827,13.45289,517.2
124,48.39828,13.45279,513.4
125,48.39828,13.45279,508.5
126,48.39828,13.45279,505.5
127,48.3983,13.45269,503.0
128,48.3983,13.45269,499.4
129,48.3983,13.45269,496.5
130,48.39831,13.4526,492.6
131,48.39831,13.4526,489.8
132,48.39831,13.4526,487.4
133,48.39832,13.4525,483.4
134,48.39832,13.4525,479.5
135,48.39832,13.4525,476.2
136,48.39834,13.4524,474.1
137,48.39834,13.4524,471.7
138,48.39834,13.4524,466.9
139,48.39836,13.4523,464.1
140,48.39836,13.4523,460.4
141,48.39836,13.4523,456.6
142,48.39837,13.4522,453.8
143,48.39837,13.4522,449.0
144,48.39837,13.4522,446.2
145,48.3984,13.4521,440.9
146,48.3984,13.4521,438.2
147,48.3984,13.4521,434.9
148,48.39842,13.452,432.5
149,48.39842,13.452,428.9
150,48.39842,13.452,422.9
151,48.39845,13.45191,420.7
152,48.39845,13.45191,416.5
153,48.39845,13.45191,414.5
154,48.39848,13.45181,411.3
155,48.39848,13.45181,405.4
156,48.39848,13.45181,404.4
157,48.39851,13.45171,397.0
158,48.39851,13.45171,396.5
159,48.39851,13.45171,394.1
160,48.39854,13.45161,389.4
161,48.39854,13.45161,386.5
162,48.39854,13.45161,380.3
163,48.39857,13.45151,379.2
164,48.39857,13.45151,373.8
165,48.39857,13.45151,372.1
166,48.3986,13.45142,367.5
167,48.3986,13.45142,364.3
168,48.3986,13.45142,360.1
169,48.39864,13.45134,357.9
170,48.39864,13.45134,355.1
171,48.39864,13.45134,350.9
172,48.39868,13.45126,346.3
173,48.39868,13.45126,342.6
174,48.39871,13.45119,339.0
175,48.39871,13.45119,331.5
176,48.39874,13.45112,330.4
177,48.39874,13.45112,330.6
178,48.39874,13.45112,330.6
179,48.39875,13.45107,331.1
180,48.39875,13.45107,330.5
181,48.39875,13.45107,330.1
182,48.39874,13.45108,330.7
183,48.39874,13.45108,330.7
184,48.39874,13.45108,330.3
